Title,URL,Likes,Views,Comments Count,Description,Published At,Channel ID,Channel Title
Inside the DC Mansion Murder Victims&#39; Final Hours,https://www.youtube.com/watch?v=IB3u1v2XMiI,510,89143,91,"Part 2: The night began with a home invasion while the family and their housekeeper were at the mansion.

Watch More on http://abcnews.go.com/
SUBSCRIBE to ABC NEWS:
https://www.youtube.com/ABCNews/
LIKE ABC News on FACEBOOK
https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER:
https://twitter.com/abc
GOOD MORNING AMERICA'S HOMEPAGE:
https://gma.yahoo.com/",2015-06-13T09:04:21Z,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News
Inside the DC Mansion Murders (2015),https://www.youtube.com/watch?v=wfcN2iaE2vE,13920,1552462,1510,"CNN's Pamela Brown speaks with investigators and law enforcement officials about the dramatic story of the 2015 Washington, DC mansion murders that left four dead.  #CNN #News",2024-02-10T23:00:28Z,UCupvZG-5ko_eiXAupbDfxWw,CNN
Washington DC: From murder capital to boomtown - BBC News,https://www.youtube.com/watch?v=Gf1OMNWmR2o,895,117694,288,"Subscribe to BBC News www.youtube.com/bbcnews
A quarter of a century ago, Washington DC had a fearsome reputation for crack abuse and rampant gun violence - it was the ""murder capital"" of the US. But now, once-blighted neighbourhoods close to the centre of the capital are thriving.

The BBC's Bill McKenna explores the city.

Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcworldnews
Twitter: http://www.twitter.com/bbcworldnews
Instagram: http://instagram.com/bbcnews",2014-08-10T18:24:21Z,UC16niRr50-MSBwiO3YDb3RA,BBC News
Behind Closed Doors: The murder of Lauren Charles | FOX 5 DC,https://www.youtube.com/watch?v=wrfmar27lS0,17489,1350454,4096,"Two years ago, 40-year-old Lauren Charles was found brutally murdered inside her Kensington home. A bizarre 911 call and a common electronic device helped investigators crack the case and zero in on the person they say killed the beloved daughter and friend. Jacqueline Matter digs for answers in this FOX 5 true crime special. 
---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2023-08-13T19:33:01Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
16-Year-Old Arrested for Another Teen&#39;s Murder in DC | NBC4 Washington,https://www.youtube.com/watch?v=5-0OLXetl6s,24,3120,12,"A gunman shot and killed 15-year-old Malachi Jackson on 13th Street near Columbia Road in Columbia Heights last month.  News4’s Pat Collins spoke to the victim’s grandmother.
_______

NBC4 Washington / WRC-TV is the No. 1 broadcast television station and the home of the most-watched local news in Washington, D.C., the country’s seventh largest television market. NBCWashington.com is the market’s most-visited local television station website across all platforms.

FOLLOW NBC4 WASHINGTON
Instagram: http://nbc4dc.com/3HxYkYH
Facebook: http://nbc4dc.com/iD1GvRQ
Twitter: http://nbc4dc.com/APF7vQM
TikTok: http://nbc4dc.com/pg5Nx67
VISIT OUR SITE: https://www.nbcwashington.com/
DOWNLOAD OUR FREE APPS: https://www.nbcwashington.com/products/
WATCH NBC4 LIVE ON AMAZON FIRE TV: https://www.nbcwashington.com/firetv/
WATCH NBC4 LIVE ON ROKU: https://www.nbcwashington.com/roku/d",2022-05-11T15:42:38Z,UC1VKVKhJLc7PjdPPVxTDk0Q,NBC4 Washington
New details in Washington D.C. mansion murder,https://www.youtube.com/watch?v=E_zz6fOuUro,24,6601,21,Horrific new details in a quadruple murder at a mansion just blocks from the Vice President's home in Washington D.C. CNN's Pamela Brown reports.,2015-05-20T21:22:15Z,UCupvZG-5ko_eiXAupbDfxWw,CNN
DNA on leftover pizza helps police ID suspect in D.C. murder mystery,https://www.youtube.com/watch?v=VpvywyDiPAI,18,3959,40,"Police have named a suspect in a harrowing quadruple murder in Washington, D.C., blocks away from the vice president's home. Police say 34-year-old Daron Dylon Wint was involved in the torture of the Savopoulos family and their housekeeper. Wyatt Andrews reports on the disturbing details.",2015-05-21T11:35:27Z,UC-SJ6nODDmufqBzPBwCvYvQ,CBS Mornings
Nation&#39;s Capital: Murder Capital No Longer,https://www.youtube.com/watch?v=cgbzL3AxIxA,45,5671,0,"Once referred to as the nation's murder capital, Washington, D.C. has drastically cut the number of homicides and is on pace to have fewer than 100 this year, for this first time since 1963.  (Dec. 28)",2012-12-28T15:10:28Z,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press
DC Mansion Murder Suspect Found Guilty Of 2015 Quadruple Killing,https://www.youtube.com/watch?v=aeQOdKdJJW8,3,779,0,A man accused of brutally killing four people inside a D.C. mansion back in 2015 has been found guilty.,2018-10-25T21:16:00Z,UClYiny8IhDsIk5SivucNl7g,WJZ
Man Charged In Murder Of D.C. Jogger | NBC Nightly News,https://www.youtube.com/watch?v=5Jhzt6MvtHQ,35,7685,30,"Police say the 23-year-old man stabbed tech executive Wendy Martinez while she was jogging in Washington D.C.’s Logan Circle on Tuesday.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

Man Charged In Murder Of D.C. Jogger | NBC Nightly News",2018-09-20T23:53:22Z,UCeY0bbntWzzVIaj2z3QigXg,NBC News
"One killed, one hurt in Southeast DC convenience store shooting | NBC4 Washington",https://www.youtube.com/watch?v=BoWwxa0o2Zo,174,16435,42,"Police are searching for a suspect in a shooting at a convenience store in Southeast D.C. that left one person dead and another injured. News4's Paul Wagner reports.
_______

NBC4 Washington / WRC-TV is the No. 1 broadcast television station and the home of the most-watched local news in Washington, D.C. The station leads the market in providing timely and breaking news and information in text, video and graphics across more than 15 platforms including NBCWashington.com, the NBC4 app, NBC4 streaming news channel, newsletters, and social media.

FOLLOW & STREAM NBC4 WASHINGTON

NBC4 News Streaming channel: https://www.nbcwashington.com/watch/
Xumo Play: https://play.xumo.com/live-guide/nbc-washington-dc-news
Roku: https://therokuchannel.roku.com/watch/021707311e0b595597f97a389e0051e6/nbc-washington-dc-news
Also available on Pluto TV, Freevee, Google TV, TCL, Local Now, and Samsung TV Plus.

More here: https://www.nbcwashington.com/watchlive/
Instagram: http://nbc4dc.com/3HxYkYH
Threads: http://nbc4dc.com/ZYZAAHJ
Facebook: http://nbc4dc.com/iD1GvRQ
X: http://nbc4dc.com/APF7vQM
TikTok: http://nbc4dc.com/pg5Nx67
VISIT OUR SITE: https://www.nbcwashington.com/
DOWNLOAD OUR FREE APPS: https://www.nbcwashington.com/products/
WATCH NBC4 LIVE ON AMAZON FIRE TV: https://www.nbcwashington.com/firetv/
WATCH NBC4 LIVE ON ROKU: https://www.nbcwashington.com/roku/d",2024-10-24T15:22:27Z,UC1VKVKhJLc7PjdPPVxTDk0Q,NBC4 Washington
"Surveillance video captures 2 suspects wanted in DC armed robbery, shooting: police",https://www.youtube.com/watch?v=EHqHgbZK7P0,57,22134,37,"D.C. police have released surveillance video they say captured two suspects wanted in an armed robbery and a separate shooting in northeast Washington.

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2023-11-06T15:02:53Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
RAW VIDEO: Wild shootout in Northeast DC captured on home surveillance video | FOX 5 DC,https://www.youtube.com/watch?v=K3RiJxu-yKU,117767,20837361,14554,"Home surveillance video obtained by FOX 5 captures the chaotic scene during a shootout Friday evening in Northeast D.C. FULL STORY: https://bit.ly/2N0qLmR

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2020-06-15T14:20:23Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
DC police caught in crossfire outside Southeast gas station,https://www.youtube.com/watch?v=9wLsZR2PXbU,308,69139,242,"D.C. Police continue to investigate a shooting that involved a couple of its officers taking on gunfire after reporting to a shooting they heard outside of a Southeast gas station, according to the department in a statement.

Officers were already in the area of the 5000 block of Benning Road, Southeast, on April 9, and rushed to the scene after hearing gunshots. When officers arrived, they took on gunfire from people inside a grey Honda Accord, said the department.

The marked scout car that D.C. Police officers were driving was struck multiple times by people that fired shots from the gray Honda Accord, said the department.

No officers or citizens were injured in this shooting, according to D.C. Police.

An additional vehicle that was not involved in the shooting and a gas pump also was struck by gunfire, said police.

» Subscribe to WUSA9: https://bit.ly/2lO8e2F

FOLLOW US ON SOCIAL MEDIA –
Twitter: https://twitter.com/wusa9
Facebook: https://www.facebook.com/wusa9
Instagram: https://www.instagram.com/wusa9

NEWS TIPS –
Email: newstips@wusa9.com",2021-04-15T00:06:53Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
3 dead in multiple DC shootings,https://www.youtube.com/watch?v=uoxncSc1c5c,143,16440,47,"It's been a violent start to the week in the District, as police investigate several shootings in just 24 hours. At least three people have been killed. FOX 5’s Melanie Alnwick has the latest.

DETAILS: https://tinyurl.com/ylutly69

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-10-08T10:02:13Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
13 People Killed in Washington DC Shooting Rampage,https://www.youtube.com/watch?v=BZF0dFXjgk0,161,51528,159,"ABC News' Tahman Bradley reports on the man who killed 12 people at the Washington Navy Yard.

*MORE: http://abcn.ws/1aPhLuf",2013-09-17T09:06:50Z,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News
Deadly double shooting in Southeast DC,https://www.youtube.com/watch?v=vcU2xDoxQc0,358,29372,222,POLICE ARE ASKING FOR YOUR HELP TO FIND THE PEOPLE RESPONSIBLE FOR A DEADLY DOUBLE SHOOTING IN DC.,2024-08-20T20:19:49Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"RAW VIDEO: Gunfire erupts in Northwest DC, killing father, teacher | FOX 5 DC",https://www.youtube.com/watch?v=XCDIicnW8OA,1848,444646,75,"A shooting in DC's Shaw neighborhood left a city teacher dead. Police are still looking for four suspects in the homicide. MORE: https://bit.ly/2WmWG9i

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2021-08-25T17:07:54Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Video: Germantown gun battle caught on camera | FOX 5 DC,https://www.youtube.com/watch?v=44Be-AlMkcs,424,120447,54,"Montgomery County police have released Ring video showing a gun fight in a residential Germantown neighborhood. STORY: https://bit.ly/3gAd4L0

Subscribe to FOX 5 DC: https://www.youtube.com/channel/fox5dc?sub_confirmation=1

FOX 5 DC is your number one news source for breaking news, live events, weather and more in D.C., Maryland and Virginia.

STAY CONNECTED:INSTAGRAM » https://www.instagram.com/fox5dc/
TWITTER » https://twitter.com/fox5dc
FACEBOOK » https://www.facebook.com/fox5dc

On the go? Stay in the know! Keep connected to DC, Maryland and Virginia news and weather by downloading FOX 5's mobile apps, and make sure to allow notifications to receive alerts: https://www.fox5dc.com/apps",2021-06-17T00:32:56Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
"DC crime: 11 shot, 2 dead in less than 24 hours",https://www.youtube.com/watch?v=LkrXst-EZwA,187,22641,135,"A surge in gun violence has left two people dead and nine others injured in less than 24 hours in Washington, D.C., and police are investigating to see if any of those shooting are connected.

DETAILS: https://tinyurl.com/2c4g5o7x

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-07-25T11:22:20Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Inside the DC Mansion Murders (2015),https://www.youtube.com/watch?v=wfcN2iaE2vE,13920,1552462,1510,"CNN's Pamela Brown speaks with investigators and law enforcement officials about the dramatic story of the 2015 Washington, DC mansion murders that left four dead.  #CNN #News",2024-02-10T23:00:28Z,UCupvZG-5ko_eiXAupbDfxWw,CNN
