Title,Summary,Date,Full_Article,Crime_Type,Locality,Personal_Characteristics
dc mom says she was kicked out of lyft after 4-year-old son with autism began making noises,"a d.c. mom says she’s filed an official complaint after a rideshare driver allegedly kicked her and her 4-year-old son, who has autism, out of the car before they reached their destination.",,"washington-a d.c. mom says she’s filed an official complaint after a rideshare driver allegedly kicked her and her 4-year-old son, who has autism, out of the car before they reached their destination. mom shannel woods spoke with fox 5 thursday, saying she had ordered a lyft for her and her son so they could head over to pennsylvania ave. in northwest d.c. woods tells fox 5 that her son began ""stimming"" — a self-stimulatory behavior common in people with autism that often includes repetitive body movements or noises. according to woods, as her child continued to make noise, she explained to the driver that he has autism. but woods says the driver got annoyed and criticized her parenting before eventually ending the drive early, leaving the mother and son at the mobile gas station on prout street and pennsylvania avenue in southeast. woods tells fox 5 that she reached out to lyft but was disappointed to only receive a refund for the driver’s behavior. after submitting the complaint with lyft, woods said she then made the ada complaint. fox 5 reached out to lyft. a spokesperson says they did investigate the incident and that the driver did not feel she could complete the ride safely, so she decided to end it early. lyft provided a statement to fox 5, saying, ""safety is fundamental to lyft and we strive to create a community where everyone is treated with equal respect and mutual kindness. upon learning of this incident, lyft investigated the matter and refunded the rider for this ride."" fox 5’s shomari stone will have more on this developing story on fox 5 news at 10 and 11 p.m.",Assault,northwest,"Adult female, child, adult male"
'love is blind' dc watch parties,looking to watch love is blind d.c. outside your own living room pod?,,"washington-looking to watch love is blind d.c. outside your own living room pod? here are a couple of watch parties around  d.c. that are pairing the search of love with some specialty cocktails. 620 t street, northwest washington, d.c. 20001 the howard theatre in d.c. will be kicking off their love is blind watch party on wednesday night. all lovers of the show are invited to the free event that starts at 7:30 p.m. 1940 11th street northwest, washington, d.c. 20001 lulu's winegarden will be hosting a watch party starting at 8 p.m. and adding their own twist with wine specials and more. attendees can enjoy gold glasses and themed cocktails while spilling over their favorite love birds. 640 rhode island avenue northeast at rhode island ave metro washington, d.c. 20002 grab a friend and head over to metrobar for an evening of romance and drama. the watch party is completely free and kicks off at 7 p.m. whitlows dc, 901 u street northwest, washington, d.c., 20001 do you have an eye for predicting a true love connection? head over to whitlows dc and enter your prediction for the chance to win gift cards. the event starts at 7 p.m. and will also feature $8 cocktail specials.",Not relevant,Not relevant ,Not relevant 
how long do cherry blossoms last? will peak bloom be affected by cooler temperatures?,d.c.’s iconic flowering trees are putting on a spectacle around the tidal basin now that they’ve reached peak bloom! but how long do cherry blossoms last and will they be affected by the cooler temperatures?,,"washington-d.c.’s iconic flowering trees are putting on a spectacle around the tidal basin now that they’ve reached peak bloom! but how long do cherry blossoms last and will they be affected by the cooler temperatures? read more:cherry blossom festival kicks off: here's the history behind dc's iconic blooms national park service officials estimate that peak bloom for the cherry blossoms will last for about 10 days. the cherry blossoms officially reached peak bloom on march 17. peak bloom is defined as when 70% of the city’s 3,700 cherry trees will be flowering. this year’s peak bloom is the second earliest in history. the earliest peak bloom recorded was march 15, 1990, according to nps. ""emerging from the warmest january on record, this has been a particularly puzzling year to read the trees and established date for peak bloom,"" said jeff reinbold, the superintendent of the national mall and memorial parks for the national park service, back in february. steadily rising global temperatures and the fact that the cherry trees never reached dormancy over the winter months have resulted in peak bloom creeping a little earlier. read more:cherry blossoms reach peak bloom after warm weekend warm weekend temperatures sped up the arrival of peak bloom. so, will cooler temperatures cause them to disappear sooner? not at all, said national park service spokesman mike litterst. ""concern should be the last thing on anybody’s mind,"" litterst said. ""the cool weather is actually going to keep the blossoms on the trees a little bit longer than they might normally."" litterst said the next phase after peak bloom is when we go from blossoms to leaves. warm temperatures tend to speed up that process. ""so, the cooler the temperatures, the longer the blossoms will stay before they become leaves,"" he said. litterst said temperatures of 27 degrees or below could do damage to the cherry blossom petals. but temperatures that low are not in the forecast. fox 5’s tucker barnes said winds shouldn’t be an issue either.  ""i don't think the winds will be so strong that we're worried about cherry blossoms flying. but they will occasionally gust from 20-25 mph."" typically, there is a big rush before the sun comes up, especially with photographers who are looking for the perfect sunrise shot. from, mid to late morning, there is usually a lull around the tidal basin. the foot traffic starts to pick up after school and work and gets heavier and heavier until sunset. ""the earlier you can get down here the better,"" litterst said. he also advised against climbing the cherry trees or picking the blossoms – two things that could potentially harm them. read more:best spots to see cherry blossoms in dc -- besides the tidal basin",Not relevant ,Not relevant ,Not relevant 
dc woman survives shooting in columbia heights; aunt recovering,"a woman is speaking out exclusively with fox 5 after surviving a shooting that took place in northwest, d.c. late last month.",,"washington-a woman is speaking out exclusively with fox 5 after surviving a shooting that took place innorthwest, d.c.late last month. the incident, which occurred in the early hours of thursday, july 25, left the woman's aunt critically injured. the woman, who told fox 5 her name is alanda, said she was driving her toyota rav4 in the columbia heights neighborhood, specifically on the 1400 block of park road nw, around 1:45 a.m. when the attack occurred. she said she had her aunt and three other passengers in the car at the time. according to d.c. police, a man opened fire on the suv, shattering the front windshield and the rear passenger-side window. the woman was hit by flying glass, and her aunt was shot in the back of the head. miraculously, the bullet exited through her mouth, and she is currently recovering from her injuries. ""i was terrified. not for me, but for my aunt, who was in that condition,"" the woman told fox 5. ""my immediate response was just to help her out and save her life … i was just worried about everybody in my car. i love my family very much. i wasn't even focusing on myself. d.c. police are actively investigating the case and are asking for the public’s help in identifying the suspect. the photo of the alleged shooter has been released, and authorities urge anyone with information to contact them. the driver, still shaken by the ordeal, is calling on the community to assist in capturing the suspect. anyone with information is urged to call d.c. police.",Assault w/dangerous weapon,Northwest,"Adult female, adult male "
3 years later: doj still seeks to identify jan. 6 pipe bomb suspect; 87 rioters who assaulted police,"just days ahead of the three-year anniversary of the jan. 6 riots, federal authorities are renewing calls for information on the suspect who laid pipe bombs in the capitol hill neighborhood the night before the insurrection.",,"washington-just days ahead of the three-year anniversary of the jan. 6 riots, federal authorities are renewing calls for information on the suspect who laid pipe bombs in thecapitol hill neighborhoodthe night before the insurrection. three years into the investigation, a $500,000 reward is still being offered for anyone who can help investigators identify the hooded, masked man suspected ofplanting the bombsat both the republican national committee’s and democratic national committee’s headquarters. the fbi released video showing what they believe was the suspect’s route through the area back in 2021. the clips from between approximately 7:30 p.m. and 8:30 p.m. on jan. 5 showed the man in different parts of the neighborhood that would be flooded by supporters of former president donald trump the next day. the bombs were discovered around the same time that trump’s supporters were leaving his rally in freedom plaza on jan. 6, beginning their march to the capitol. the fbi says while the bombs did not detonate, they were still ""viable"" and could have killed or injured innocent bystanders. they say the suspectremains a dangerand are hoping someone might recognize his clothing, his gait, or his mannerisms. ""the tips we have received so far from the american people have helped us advance the investigation, and we ask the public to continue to assist us by taking a fresh look at ourseeking information webpage, which includes images and video of the suspect, the suspect’s backpack, the suspect’s shoes, the explosive devices, and a map of the route the suspect walked the night the pipe bombs were placed,"" said david sundberg, assistant director in charge of the fbi washington field office. at the same time, federal prosecutors are continuing to ask for help identifying dozens of people who assaulted law enforcement officers during the riots. d.c.’s u.s. attorney matt graves said thursday that his office is seeking information on more than 80 individuals accused of violently attacking the officers who have not been identified. prosecutors say they need more evidence to be able to locate and charge these individuals. graves promised that in addition to the hundreds of jan. 6 prosecutions already in progress, more will soon be underway. he says his office will post what little they have on the outstanding individuals online, including those most wanted at the top of the list in hopes that the public has more information to share. but as prosecutors push for more information to bring new cases, some of the current cases could be in jeopardy. three weeks ago the supreme court agreed to weigh in on whether prosecutors can bring the criminal charge for obstructing an official proceeding against jan. 6 defendants. the felony charge could send violators to prison for up to 20 years but at least one federal judge has said that it cannot be used against jan. 6 defendants unless prosecutors can show they tampered with a document, official record or other object. according to graves, 87 people have been convicted of corruptly obstructing an official proceeding in the jan. 6 cases. all of those could be in jeopardy if the supreme court says that charge cannot apply. anyone with information on the capitol hill pipe bomber or the 87 individuals wanted for assaulting law enforcement officers should contact the fbi at 1-800-225-5324 or submit tips online at tips.fbi.gov. tips can remain anonymous. ""we urge anyone who may have previously hesitated to come forward or who may not have realized they had important information to contact us and share anything relevant,"" sundberg said.",Other,southeast,Adult male
"dc mom furious after 13-year-old assaulted, robbed for moose knuckles jacket outside school",d.c. police say a 13-year-old student was robbed of her moose knuckles jacket just outside of her school tuesday afternoon.,,"washington-d.c. police say a 13-year-old student was robbed of her moose knuckles jacket just outside of her school tuesday afternoon. now, her mom wants answers, saying the school did not notify her about what happened and didn't help her child following the attack. according to a police report and a letter sent home to the families ofcapitol hill montessori at loganstudents, the victim was walking with two other students heading back to the school from union station around 3:40 p.m. when they were approached by another group of ""school-aged children unaffiliated with chml."" the victim’s mom, dayona campbell, tells fox 5 this happened after a school field trip. the victim told police that one of the suspects said, ""where's your man at? where's your man at?"" and ""we like that moose."" one of the suspects then held down the victim by her wrist and neck while another suspect took the moose knuckles jacket from her. both suspects then fled south back towards the union station, police say. while the robbery was carried out by two boys, the victim’s mom says a d.c. police detective told her that the group they were in included as many as 15 boys. she says this was determined from video surveillance but fox 5 has not been able to independently confirm that number and the victim’s parent hasn’t seen the video. it’s something she says she wants from the school — and more information. ""an explanation as to why my child wasn’t…no one was there to help my child. why wasn’t i notified about the situation? and why wasn’t mpd called immediately? i called them once i got here,"" campbell said. the victim’s jacket was recovered the next day. fox 5 has reached out to d.c. public schools for comment. we have not heard back at this time. you can read the full letter sent to capitol hill montessori at logan parents below: ""dear capitol hill montessori @ logan parents and families, at capitol hill montessori @ logan (chml), we are committed to the safety of our students. communicating about incidents that occur while students are away from home is critical to maintaining strong partnerships with families. this tuesday, after dismissal, it was reported that a group of school-aged children unaffiliated with chml approached three of our middle school students and took one of their jackets. the students returned to our campus physically unharmed, and school administration notified the metropolitan police department (mpd) and dc public schools (dcps) police of the incident. the students departed campus with their caregivers. school administration and our school psychologist, ms. wu, are supporting the students directly involved in the incident, and they will continue to be available to provide all students with a safe space to share their feelings. please reach out to me to connect your student with assistance. as a general reminder, it is important for students to always remain aware of their surroundings while traveling to and from school. please talk with your child and encourage them to heed the following guidance: the safety and well-being of our students are paramount. if you have any questions, please call the school office at (202) 698-4467 or email me at kim.adutwum@k12.dc.gov. sincerely, kim adutwum principal, capitol hill montessori school @ logan""",Robbery ,southeast,Teen female
commanders employee's murder case remains unsolved,"the family of micah brown, a washington commanders employee who was shot and killed in april, is pleading for public assistance in finding his killer.",,"washington-the family of micah brown, a washington commanders employee who was shot and killed in april, is pleading for public assistance in finding his killer. prince george’s county police discovered 21-year-old micah brown suffering from a gunshot wound inside his car on april 6. despite their ongoing investigation, brown’s family fears the case will go cold without new tips and leads. brown worked diligently in the washington commanders' audiovisual department. to honor his memory, the team presented his family with a tribute jersey. on the evening of april 6, at around 8 p.m., officers responded to reports of gunshots in the 11000 block of south laurel drive. they found brown suffering from a gunshot wound inside his vehicle. tonight, brown’s sister, who wishes to remain anonymous, expressed her anguish and called for justice. ""i am a little depressed because my brother is gone, and i will never see him ever again,"" she said. ""i just want to know, why did you kill my brother and like what was the reason to take his life? he was an innocent person. he went to work every day. he was a man of god. he was trying to do his best at what he did. and he went to work. he went with his family and he came back home."" according to investigators, all witnesses have been interviewed, and no foul play is suspected.",Homicide,,Adult male 
suspect wanted after 19-year-old killed in northeast dc shooting: police,a 19-year-old man is dead following a shooting in northeast d.c. tuesday night.,,"washington-a 19-year-old man is dead following a shooting innortheast d.c.tuesday night. d.c. police detectives say the deadly incident happened just after 9 p.m. on tuesday, april 30 in the 1500 block of north capitol street, northeast. when officers arrived at the scene, they found a man on the sidewalk with multiple gunshot wounds. the victim, later identified as 19-year-old daquan garner was pronounced dead at the scene by d.c. fire and ems workers. garner’s remains were transported to the d.c. office of the chief medical examiner for an autopsy. police have not yet found a suspect in the shooting. police are offering a reward of up to $25,000 for information on the shooter.call policeat (202) 727-9099 or text a tip to 50411.",Homicide ,Northeast,Teen male 
american university student charged with voyeurism after allegedly filming man in bathroom,an american university student is facing charges for secretly recording someone in the bathroom and fox 5 has learned that the suspect was also reported missing just days after the alleged incident.,,"washington-an american university student is facing charges for secretly recording someone in the bathroom and fox 5 has learned that the suspect was also reported missing just days after the alleged incident. american university police say the peeping incident happened two weeks ago on july 22 in a bathroom at the library. the student accused of recording is 19-year-old kris emmanuel estrada. according to court documents estrada used his cell phone to record a man using the restroom in the stall next to him. ""peeping toms are gross,"" au senior taylor murray said. disgust and frustration are what american university students are feeling after learning about the recent arrest of 19-year-old student kris emmanuel estrada. according to the charging documents, on july 22, a man using the restroom on the second floor of bender library caught someone recording him from the stall next door. the man left the restroom and reported the incident to university police giving them a description of the suspect's shoes. through surveillance cameras and student id card access records, police were able to identify estrada as their suspect. several days later police obtained a warrant to search estrada’s dorm room at constitution hall. police confiscated his phone and when they went through it, they found seven recently deleted videos from july 22 of a man who matched the victim's toilet. while students are glad the suspect was caught, some are upset about the way the school handled the incident. ""it’s crazy that they didn’t tell us about it,"" murray said. in a statement to fox 5 dc, american university says ""on july 22, a voyeurism incident was reported to aupd, which launched an immediate investigation. through this investigation, a student was identified as a suspect and arrested last week."" murray and other students tell us they found out that estrada is facing a voyeurism charge through the student-led paper and not an email or message from school leaders. ""the real frustration is the way we find out about these instances is through other students,"" recent american university graduate amanda carroll said. ""the eagle is a student-run paper and it’s frustrating not to see something come from the university itself."" students who spoke with fox 5 did point out that estrada was reported missing last week. friends and family shared this poster. according to the university, he was safely located and turned himself in. ""it’s unacceptable and shouldn’t be happening on our campus or any campus,"" murray said. fox 5 is told that estrada was registered for summer classes and that’s why he was on campus. but this isn’t the first time a ""voyeurism"" incident was reported on campus. back in april, a student was suspended and barred from campus after peeping at one of the residence halls, and a similar situation happened last year. ""it’s not only just this situation and the three instances but there’s also been instances in the dorms and no accountability or communication,"" murray said. in a statement, the university said that ""voyeurism — like all other crimes — is unacceptable on our campus."" estrada did appear before a judge where he pleaded not guilty. his next court date is in september.",Other,Northwest,Teen male 
man shot near nationals park during game against phillies; police searching for suspect,"police are investigating a shooting that took place friday evening near nationals park, where the washington nationals are currently playing against the philadelphia phillies.",,"washington-police are investigating a shooting that took place friday evening near nationals park, where the washington nationals were playing against the philadelphia phillies. the shooting occurred in the 1300 block of south capitol street s.w., just blocks from the stadium. the call came in at approximately 6:51 p.m., minutes after the first pitch, according to the metropolitan police department. upon arrival, mpd said its officers found a man who was ""conscious and breathing."" his current condition has not been released. so far, the nationals have not commented on the incident outside the stadium. this game is the third-to-last of the nationals' season. police are searching for a suspect described as a man with a beard, wearing all dark clothing. the suspect was last seen heading southbound in the 1500 block of south capitol street s.w. according to police, the victim of the shooting has died. this is now a homicide investigation. authorities are asking anyone with information to contact the police.",Assault w/dangerous weapon,southeast,Adult male 
'they took my baby': dc family mourning loss of 18-year-old killed in weekend violence,"d.c. police are investigating after 10 people were shot between friday and saturday, five of whom were killed.",,"washington-d.c. policeare investigating after 10 people were shot between friday and saturday, five of whom were killed. according tothe latest datafrom the metropolitan police department, compared to last year, overall violent crime is up 39% and homicides are up 26%. with what feels like near-constant violence racking the district, the voices of victims and their loved ones can sometimes feel lost in the fray. but fox 5’s david kaplan spoke with the mother and father of an 18-year-old victim saturday. their heartbreak was palpable as they relayed the pain of what they call a senseless loss. eighteen-year-old mikeya ferguson and her friend, 18-year-old cle’shai perry were shot and killed last night. ferguson’s younger cousin is in stable condition in an area hospital. ""it hurts. i’m going through it right now,"" father michael ferguson said. ""she had a heart of gold,"" said mom kenyel chandler. michael ferguson and kenyel chandler shared their names, but asked not to have their faces shown. mikaya was the oldest of seven. her mother says she loved her siblings, and her father said she loved school and having a good time. early saturday evening, bullet holes were still evident on the 1300 block of 8th streetnorthwest. michael ferguson said his daughter, niece and their friend were sitting at a playground, and neighbors reported hearing dozens of gunshots. ""i feel like they ran down and shot a killed my baby. for whatever reason. i don’t know. i don’t know,"" kenyel said. her pain has been made worse because – despite the police identification – she hasn’t been allowed to see her daughter’s body—a chapter of closure she desperately wants, as she continues to grapple with unimaginable grief. ""they took my baby from me. and i don’t know what to do. they took my baby,"" kenyel said through tears. other members of mikeya ferguson’s family says they are incredibly frustrated with the violence happening in the district right now. police are asking anyone with any information toreach out.",Homicide,,Teen male 
benjamin netanyahu addresses congress: 'america and israel must stand together...we will win',"israeli prime minister benjamin netanyahu will be in washington, d.c. wednesday on his first trip abroad since the war in gaza broke out on oct. 7.",,"washington-israeli prime minister benjamin netanyahu addressed congress on his first trip abroad since the war in gaza broke out on oct. 7. this was his first time speaking since hamas' terrorist attack on israel killed 1,200 people and resulted in the taking of hostages to gaza, where about 100 are still believed to be held captive. ""our world is in upheaval.... this is not a clash of civilizations. it's a clash between barbarism and civilization. it's a clash between those who glorify death and those who sanctify life. for the forces of civilization to triumph, america and israel must stand together,"" said netanyahu. ""i came to assure you today one thing: we will win."" several hostage families were present duringnetanyahu's addressand some who managed to escape captivity. ""i will not rest until all their loved ones are home."" the prime minister thanked president biden for his efforts in aiding hostages and their families, and for his heartfelt support of israel during their darkest hour. ""president biden and i have known each other for over 40 years. i want to thank him for half a century of friendship to israel, and for being, as he says, a proud zionist. actually, he says he is a proud irish american zionist,"" said netanyahu. netanyahu went on to send a message to pro-palestinian protesters and even suggested they may need a lesson in history. ""many anti-israel protesters, many choose to stand with evil. they stand with hamas. they stand with rapists and murderers ... these protesters who stand with them, they should be ashamed of themselves."" ""i have a message for these protesters. when the tyrants of tehran who hang gays from cranes and murder women for not covering their hair are praising and promoting and funding you, you have officially become iran's useful idiots."" the chambers erupted with cheers and applause as the prime minister shared what he called ""context"" in regard to the history of israel. the white house released an updated schedule for biden and the president plans to hold a bilateral meeting with netanyahu on thursday afternoon. both biden and the prime minister will meet with families of americans who were held hostage by hamas. the relationship between biden and netanyahu has beena fraught oneas protests calling for the u.s. to stop sending weapons to israel and demanding that biden put more pressure on netanyahu to end the war. former president trump is expected to meet with netanyahu on friday at mar-a-lago in florida. ""looking forward to welcoming bibi netanyahu at mar-a-lago in palm beach, florida, on thursday,"" trump said in his post. the associated press contributed to this report.",Other ,,
"victim dies after assault in northwest, death ruled as a homicide: police",the metropolitan police department is seeking the public’s assistance in identifying and locating a suspect involved in a homicide in northwest.,,"washington-themetropolitan police departmentis seeking the public’s assistance in identifying and locating a suspect involved in a homicide in northwest. the suspect was captured by a surveillance camera and can be seen in the photo below. police responded to the area of the 1100 block of 15th street on friday, february 2, at approximately 2:00 a.m., for reports of an assault. upon arrival, officers located an adult male suffering from life-threatening injuries as a result of an assault. the victim was transported to a local hospital for treatment. the victim succumbed to his injuries and was pronounced dead on wednesday, february 7th. the decedent has been identified as 41-year-old vivek taneja of alexandria, va.",Homicide,Northwest,Adult male
police arrest 18-year-old in string of armed robberies on metropolitan branch trail; second suspect wanted,"metropolitan police have arrested a teen accused in a string of robberies that began back in october, targeting victims on or around a popular northeast d.c. trail.",,"washington-metropolitan policehave arrested a teen accused in a string of robberies that began back in october, targeting victims on or around a popular northeast d.c. trail. jalique wiseman, an 18-year-old fromnortheast d.c.is the teen now behind bars for the violent thefts. officers say they are still looking for a second suspect who helped wiseman. the crimes took place on the metropolitan branch trail. police say most of the 18 robberies happened between rhode island avenue and monroe and in several cases, the suspects violently attacked victims for their iphones. court documents applying for charges say in one of the first incidents on oct. 2, wiseman and his accomplice targeted a man who had just finished a run. it says the pair suddenly ran at the victim and took him to the ground, also demanding his iphone passcode. he was the first in this case to find a fraudulent venmo transaction. another victim informed police of an unauthorized $200 cashapp transaction sent to a ""lebron james"" a different victim whose iphone was also stolen, told police on nov. 23, an unauthorized order was made on their amazon account for a 15 gig cricket mobile hotspot plan along with an iphone. mpd 5th district commander sylvan altieri says officers used ""intelligence-led"" policing, noting that the trend of iphones being stolen paired with the fact that no getaway cars were seen indicates that the suspects are likely local to the area. police say they used mountain bike officers and undercover detectives who were able to connect a few november robberies to a slew of other incidents in october. they're asking the public for help getting the second suspect behind bars. ""what i’m asking people is this: if you see something like this or if you feel you might know who that suspect is. please text us at 50411 or call us. you can remain completely anonymous,"" altieri said. as police continue to search for the second suspect in this series of robberies, altieri offered advice on how community members can protect themselves. ""keep your phone protected, keep your phone backed up and you should really try not to save anything on your phone that’s going be…that’s going to jeopardize your account information, any personal information,"" he said. ""i really recommend — and i guess i’m an older person — it’s better to use the phone for communicating, social media, but as far as a lot of account stuff, you sort of have to be careful because there’s a lot of technology that can pull stuff from your phone you don’t want."" wiseman was taken to the d.c. jail. police provided a full list ofall the crimeshe is suspected in: in each one of the below offenses the suspects approached the victim(s) at the listed location. the suspects brandished handguns and took property from the victim(s). the suspects fled the scene. in each of the below offenses the suspects approached the victim(s) at the listed location. the suspects assaulted the victim(s) and took property from the victim(s). the suspects fled the scene. police say many of these incidents happened at night, in the dark. in some cases, victims described being punched or kicked. at least one described hearing gunshots as he ran away. although detectives don’t have a good description of the second suspect, they ask anyone with even a small bit of information tocall themat 202-727-9099 or text a tip to 50411.",Robbery,Northeast,Teen male
all-clear given after us department of transportation evacuated in dc: police,"the metropolitan police department is investigating a suspicious package in southeast, d.c.",11/14/2024,"washington, d.c.-the metropolitan police department gave the all-clear after investigating a suspicious package in southeast, d.c. police responded to the scene for the report of a suspicious package at the headquarters of the us department of transportation located at 1200 new jersey avenue southeast in navy yard. employees received an alert about the incident and instructions to evacuate the building at the time of the incident. read the full alert below: according to police, there is no active shooter at the location. police tell fox 5'smelanie alnwickthe area has been cleared, nothing suspicious was found. this remains an ongoing investigation. stay with fox 5 dc for updates and more information.",Other,southeast,
police id man killed in overnight dc shooting,authorities have identified the man shot and killed early friday in northeast d.c.,,washington-authorities have identified the man shot and killed early friday in northeast d.c. the shooting was reported overnight around 3 a.m. in the 1500 block of benning road. officers say 26-year-old danzell hall was found in the street with gunshot wounds. he was pronounced dead at the scene. police have no suspects or motives at this time.,Homicide,Northeast,Adult male 
trial begins for 2 teen girls accused of beating 64-year-old man to death in dc,the trial for two teenage girls accused of beating and stomping a man to death in northwest last october is now underway in the district.,,"washington-the trial for two teenage girls accused of beating and stomping a man to death in northwest last october is now underway in the district. fox 5 has been covering this case for nearly a year. the murder trial is now before a judge. the two girls, ages 14 and 15 are charged with first and second-degree murder but because they are minors, we're not able to report any information that would identify them. what they're accused of doing is hard to hear. prosecutors say the night reggie brown was murdered, a group of five girls was out looking for a victim and found the most vulnerable person — a frail, 64-year-old man who suffered a lifetime of health issues and was a cancer survivor. d.c.'s deputy chief medical examiner says brown suffered multiple blunt force injuries causing his death. prosecutors say the murder, which happened just past midnight on oct. 17 on georgia avenue, northwest, was brutal and premeditated. they say the girls kicked and stomped brown in the head, removing his belt and whipping him with it, then leaving him to die on the street. ""we want justice for him because we don’t want this to happen to any other family,"" reggie brown’s sister malda brown said. ""this is really, really sad. it hurts my heart — i'm going to tell you the honest-to-god truth — to see these young people here and what's going on in the world today. it's mainly the young people committing these crimes. if we don't do something and continuously, like i said over and over again, to let them keep on escaping the consequences it's going to just get worse for other families."" evidence in this case includes surveillance video of the attack and cell phone video prosecutors say shows the girls beat brown enthusiastically, then celebrating afterward. when autopsy photos of brown were displayed in court, the two teens on trial stared blankly while some of his relatives had to step out. ""we are heartbroken that some young people would do this to our brother,"" malda said, adding that she believes the teens should be charged as adults. ""unfortunately the law does not stipulate that they can be but that’s what we want as a family,"" she said. prosecutors say when the murder made the news two days after brown was killed, the girls tried to delete the evidence, including instagram messages, and tried to get their story straight. one of the defense attorneys says what happened to brown is absolutely horrible but that his client did not kill him and that there was no conspiracy with others to commit a murder. one of the five girls charged in this case has already struck a plea deal. the other two are scheduled to go on trial in november.",Homicide,Northwest,"Teen female, adult male "
dc woman who drowned in rough surf of north carolina’s outer banks on labor day identified,"the 28-year-old woman from washington, d.c. who drowned on labor day in the rough surf on north carolina's outer banks has been identified.",,"cape hatteras national seashore-the 28-year-old woman from washington,d.c.who drowned on labor day in the rough surf on north carolina's outer banks has been identified. national park service officials say authorities were called to the village of avon at cape hatteras national seashore around 2:30 p.m. monday for a report of an unresponsive woman in the water. witness say the woman, identified as ferozan walizai, was overtaken by strong waves and disappeared in the surf. she was later seen face-down in the rough ocean waters. a bystander and a bodyboarder spotted walizai and brought her to shore. ems crews attempted to resuscitate her, but she died at the scene. ""the seashore's thoughts are with the victim's family and friends after this tragic event,"" said national parks of eastern north carolina superintendent david hallac in a statement. officials say the ocean conditions in the area monday were reported to be rough with a high risk of rip currents.",Not relevant,Not relevant ,Not relevant 
supreme court hears trump presidential ballot ban,the u.s. supreme court is expected to determine whether former president donald trump can keep running for the white house.,02/08/2024,"washington-the u.s. supreme court is expected to determine whether former president donald trump can keep running for the white house. trump on wednesdayappealed arulingfrom the colorado supreme court that he’s ineligible for the presidency because he violated ararely used constitutional prohibitionon those who hold office having ""engaged in insurrection."" on tuesday, heappealeda similar ruling from maine’s democratic secretary of state, but it’s the colorado appeal that’s most significant. read more:lanham mother charged with murder in son's stabbing death that’s because the nation’s highest court has never before ruled on section 3 of the 14th amendment, adopted in 1868 to prevent confederates from regaining their former government posts. whatever the supreme court decides applies to colorado will apply to all other 49 states, including maine. trump remains on the ballot in both states until the appeals are done. the associated press contributed to this report.",Not relevant ,Not relevant,Not relevant 
trump calls for federal government to 'take over dc' in the wake of mike gill's murder,"former president donald trump called for the federal government to take over washington, d.c. following the murder of a notable government official in a violent carjacking spree last week.",,"washington-former president donald trump called for the federal government to take over washington, d.c. following the murder of a notable government official in a violent carjacking spree last week. mike gill, a republican who worked under both the obama and trump administrations, died three days after being shot during a deadly carjacking rampage. read more:mike gill, former trump official, dies days after being shot in dmv carjacking spree ""wonderful and brilliant mike gill, a highly respected member of the trump administration, was ruthlessly and viciously shot in the head during a carjacking in washington d.c.,"" trump posted on truth social sunday morning. ""his family and friends are devastated. the federal government must take over d.c."" at a campaign event in las vegas, trump said if he was re-elected, he’d ""take over our horribly run capital."" ""we’re going to federalize it. we’re going to have the toughest law enforcement in the country,"" added trump. former republican house speaker newt gingrich also commented on gill's death, calling for congress to take control over d.c. ""mike gill’s death from attack by a carjacker on 14th street in downtown washington while picking his wife up from work is one more example of why congress needs to take back control of our national capital,""said gingrich. on monday, d.c.mayor muriel bowserrejected calls to have the metropolitan police department taken over by the federal government and said comments such as gingrich's and trump's were politically motivated. ""rolling back the district’s jurisdiction? … we know that we are in an election year. it’s a pivotal election year and it looks like we know who the candidates for president are going to be, and this won’t be the first time they try to attack american cities,"" said bowser. ""i feel like a real bitter taste in my mouth when a person’s and a family’s tragedy is being exploited for that reason."" the comments from gingrich and trump come as the d.c. council is set to start voting on thesecure d.c. omnibus crime billon tuesday. also killed in the carjacking spree was 35-year-old alberto vasquez, jr. he was fatally shot along 3rd and n street ne hours after gill was attacked. agofundmepage has been created on his behalf to raise money to support his family.","Homicide, motor vehicle theft",northwest,adult male
