Title,URL,Likes,Views,Comments Count,Description,Published At,Channel ID,Channel Title
3 dead in multiple DC shootings,https://www.youtube.com/watch?v=uoxncSc1c5c,143,16456,47,"It's been a violent start to the week in the District, as police investigate several shootings in just 24 hours. At least three people have been killed. FOX 5’s Melanie Alnwick has the latest.

DETAILS: https://tinyurl.com/ylutly69

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-10-08T10:02:13Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Deadly 24 hours across DC with 3 homicides reported over weekend,https://www.youtube.com/watch?v=WrqdcGR6HPo,105,13589,34,"It was dangerous 24 hours in the District with three separate homicides Friday night into Saturday.

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-06-30T20:55:06Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Inside the DC Mansion Murder Victims&#39; Final Hours,https://www.youtube.com/watch?v=IB3u1v2XMiI,510,89146,91,"Part 2: The night began with a home invasion while the family and their housekeeper were at the mansion.

Watch More on http://abcnews.go.com/
SUBSCRIBE to ABC NEWS:
https://www.youtube.com/ABCNews/
LIKE ABC News on FACEBOOK
https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER:
https://twitter.com/abc
GOOD MORNING AMERICA'S HOMEPAGE:
https://gma.yahoo.com/",2015-06-13T09:04:21Z,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News
Watch as DC police provide updates on recent homicide cases,https://www.youtube.com/watch?v=q5QMyvBAQCU,40,1076,0,"Metropolitan Police Department Captain Kevin Kentish is updating the community on recent homicide offenses in the District.

More: https://bit.ly/3ieynBU",2022-03-16T20:16:24Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Why violent crime is rising in Washington D.C.,https://www.youtube.com/watch?v=pKO6G0euino,199,19006,179,"The House Administration Committee is being briefed by the House sergeant at arms and Capitol Police on a sharp rise in brazen crimes over the past year in Washington D.C. Daniel Webster, a distinguished research scholar at the Johns Hopkins Center for Gun Violence Solutions, joined CBS News to discuss the rise in crime in the nation's capital.

#news #washington #crime 

CBS News Streaming Network is the premier 24/7 anchored streaming news service from CBS News and Stations, available free to everyone with access to the Internet. The CBS News Streaming Network is your destination for breaking news, live events and original reporting locally, nationally and around the globe. Launched in November 2014 as CBSN, the CBS News Streaming Network is available live in 91 countries and on 30 digital platforms and apps, as well as on CBSNews.com and Paramount+.

Subscribe to the CBS News YouTube channel: https://youtube.com/cbsnews
Watch CBS News: https://cbsn.ws/1PlLpZ7c
Download the CBS News app: https://cbsn.ws/1Xb1WC8
Follow CBS News on Instagram: https://www.instagram.com/cbsnews/
Like CBS News on Facebook: https://facebook.com/cbsnews
Follow CBS News on Twitter: https://twitter.com/cbsnews
Subscribe to our newsletters: https://cbsn.ws/1RqHw7T
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",2023-09-18T20:53:32Z,UC8p1vwvWtl6T73JiExfWs1g,CBS News
Behind Closed Doors: The murder of Lauren Charles | FOX 5 DC,https://www.youtube.com/watch?v=wrfmar27lS0,17487,1350457,4096,"Two years ago, 40-year-old Lauren Charles was found brutally murdered inside her Kensington home. A bizarre 911 call and a common electronic device helped investigators crack the case and zero in on the person they say killed the beloved daughter and friend. Jacqueline Matter digs for answers in this FOX 5 true crime special. 
---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2023-08-13T19:33:01Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
"Man recently arrested for mother&#39;s death confessed to 3 cold case homicides in DC, police say",https://www.youtube.com/watch?v=9pXNDfR4z10,21,1384,4,"Detectives from D.C. Police say they believe John Carrington is responsible for multiple homicides that have been cold cases for decades.

» Subscribe to WUSA9: https://bit.ly/2lO8e2F

FOLLOW US ON SOCIAL MEDIA –
Twitter: https://twitter.com/wusa9
Facebook: https://www.facebook.com/wusa9
Instagram: https://www.instagram.com/wusa9

NEWS TIPS –
Email: newstips@wusa9.com",2021-09-04T00:41:28Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Homicide investigation underway in Southeast DC,https://www.youtube.com/watch?v=BzDu3TU95xI,5,1057,0,Police are investigating a deadly shooting in the 3400 block of Stanton Road Southeast.,2022-12-10T04:10:19Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
DC Drive-by Shooting Suspect Pleads Guilty,https://www.youtube.com/watch?v=KxkyZstLBN4,52,16366,0,One of the suspects charged in a deadly drive-by shooting has pleaded guilty to five counts of second-degree murder while armed and two counts of conspiracy to commit murder. (April 30),2010-04-30T09:05:22Z,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press
Suspect in DC Hotel Homicide Had Lengthy Criminal Record | NBC Washington,https://www.youtube.com/watch?v=kaoiw7_RA9Y,105,8181,112,"A 31-year-old Virginia woman was stabbed more than 20 times in her D.C. hotel room, police said. News4’s Aimee Cho reports on the suspect’s lengthy criminal history and why a judge previously called him a danger to the community.
_______
NBC4 Washington / WRC-TV is the No. 1 broadcast television station and the home of the most-watched local news in Washington, D.C., the country’s seventh largest television market. NBCWashington.com is the market’s most-visited local television station website across all platforms.
FOLLOW & STREAM NBC4 WASHINGTON
Xumo Play: https://play.xumo.com/live-guide/nbc-washington-dc-news
Roku: https://therokuchannel.roku.com/watch/078e74931b225d7d9aea6fef6ecab43c/nbc-washington-dc-news
Instagram: http://nbc4dc.com/3HxYkYH
Facebook: http://nbc4dc.com/iD1GvRQ
Twitter: http://nbc4dc.com/APF7vQM
TikTok: http://nbc4dc.com/pg5Nx67
VISIT OUR SITE: https://www.nbcwashington.com/
DOWNLOAD OUR FREE APPS: https://www.nbcwashington.com/products/
WATCH NBC4 LIVE ON AMAZON FIRE TV: https://www.nbcwashington.com/firetv/
WATCH NBC4 LIVE ON ROKU: https://www.nbcwashington.com/roku/d",2023-04-04T00:48:54Z,UC1VKVKhJLc7PjdPPVxTDk0Q,NBC4 Washington
Man with stab wound suspected in Southeast DC homicide,https://www.youtube.com/watch?v=tcQSYsi9YUs,1,312,0,"Police responded to a stabbing call just before 1 a.m. and sent the man to a hospital. He was later arrested.

   » Subscribe to WUSA9: https://bit.ly/2lO8e2F

FOLLOW US ON SOCIAL MEDIA –
Twitter: https://twitter.com/wusa9
Facebook: https://www.facebook.com/wusa9
Instagram: https://www.instagram.com/wusa9

NEWS TIPS –
Email: newstips@wusa9.com",2021-02-12T23:58:22Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Still questions in unsolved murder in young woman in NE DC,https://www.youtube.com/watch?v=yZkq3AU-42k,13,2132,0,The young victim wanted to be a detective.,2018-03-07T23:25:12Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"DC records more than 100 murders, police chief says it&#39;s &#39;disturbing&#39;",https://www.youtube.com/watch?v=jCNj8TRA7-w,39,2223,4,'We definitely need to think about what we're doing right now because it's not working.',2020-07-14T03:37:06Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"Suspect in DC city employee&#39;s homicide stole car in Maryland, killed himself: cops | FOX 5 DC",https://www.youtube.com/watch?v=K2QikgCW3FU,112,12404,17,"Police say a man suspected of shooting a DC city employee to death outside a shopping center in Southeast stole a car in Maryland and then shot himself to death as officers closed in on him. STORY: https://bit.ly/3myNVSH

Subscribe to FOX 5 DC: https://www.youtube.com/channel/fox5dc?sub_confirmation=1

FOX 5 DC is your number one news source for breaking news, live events, weather and more in D.C., Maryland and Virginia.

STAY CONNECTED:INSTAGRAM » https://www.instagram.com/fox5dc/
TWITTER » https://twitter.com/fox5dc
FACEBOOK » https://www.facebook.com/fox5dc

On the go? Stay in the know! Keep connected to DC, Maryland and Virginia news and weather by downloading FOX 5's mobile apps, and make sure to allow notifications to receive alerts: https://www.fox5dc.com/apps",2021-10-07T22:28:20Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
"DC crime: 11 shot, 2 dead in less than 24 hours",https://www.youtube.com/watch?v=LkrXst-EZwA,187,22662,135,"A surge in gun violence has left two people dead and nine others injured in less than 24 hours in Washington, D.C., and police are investigating to see if any of those shooting are connected.

DETAILS: https://tinyurl.com/2c4g5o7x

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-07-25T11:22:20Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Maryland man accused of killing mother now linked to 3 other homicide cold cases,https://www.youtube.com/watch?v=a1oTyjWGcWM,182,10325,35,"A Maryland man accused of killing his mother in Prince George's County this week has also been charged in three other homicides spanning from 1992 to 2010.

Subscribe to FOX 5 DC: https://www.youtube.com/channel/fox5dc?sub_confirmation=1

FOX 5 DC is your number one news source for breaking news, live events, weather and more in D.C., Maryland and Virginia.

STAY CONNECTED:INSTAGRAM » https://www.instagram.com/fox5dc/
TWITTER » https://twitter.com/fox5dc
FACEBOOK » https://www.facebook.com/fox5dc

On the go? Stay in the know! Keep connected to DC, Maryland and Virginia news and weather by downloading FOX 5's mobile apps, and make sure to allow notifications to receive alerts: https://www.fox5dc.com/apps",2021-09-03T21:56:56Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Police arrest man in connection to Southwest DC homicide,https://www.youtube.com/watch?v=RQq9t1J3XVM,8,884,0,Prosecutors have charged 35-year-old Jinard Kearney of Southwest DC for the murder of 32-year-old Darryl Hall.,2022-01-21T00:38:08Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Police are investigating early morning double homicide in DC,https://www.youtube.com/watch?v=BHn6FafXk-A,3,1393,0,Homicide investigators swarm a Capitol Heights neighborhood after a man and woman were found dead.,2018-05-02T17:27:50Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"DC police offering $25,000 reward for information on 2 men tied to recent homicides",https://www.youtube.com/watch?v=qsTZqinTH0U,9,715,5,"One suspect is connected to the killing of man of Kenneth Thomas Jr. The other, Jarrell David Harris, allegedly killed Sedrick Miller, MPD says.",2022-03-16T21:41:20Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
DC Police investigate two double homicide cases,https://www.youtube.com/watch?v=KfrO22erzsg,46,2547,20,DC Police officers are investigating two separate homicide cases that left four people dead within hours.,2023-02-27T00:00:01Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
DNA on leftover pizza helps police ID suspect in D.C. murder mystery,https://www.youtube.com/watch?v=VpvywyDiPAI,18,3960,40,"Police have named a suspect in a harrowing quadruple murder in Washington, D.C., blocks away from the vice president's home. Police say 34-year-old Daron Dylon Wint was involved in the torture of the Savopoulos family and their housekeeper. Wyatt Andrews reports on the disturbing details.",2015-05-21T11:35:27Z,UC-SJ6nODDmufqBzPBwCvYvQ,CBS Mornings
"Surveillance video captures 2 suspects wanted in DC armed robbery, shooting: police",https://www.youtube.com/watch?v=EHqHgbZK7P0,59,22163,37,"D.C. police have released surveillance video they say captured two suspects wanted in an armed robbery and a separate shooting in northeast Washington.

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2023-11-06T15:02:53Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
"6 Shot, one killed in Washington, D.C.",https://www.youtube.com/watch?v=kEEzlcI4uPo,109,28315,0,"Washington, DC police say six adults were found with gunshot wounds on Thursday night and one of them was pronounced dead. The others were hospitalized. (Sept. 20)

Subscribe for more Breaking News: http://smarturl.it/AssociatedPress 
Website: https://apnews.com
Twitter: https://twitter.com/AP
Facebook: https://facebook.com/APNews
Google+: https://plus.google.com/115892241801867723374
Instagram: https://www.instagram.com/APNews/
​

You can license this story through AP Archive: http://www.aparchive.com/metadata/youtube/441feddad87240938ea1f66e86bcbc24",2019-09-20T07:16:26Z,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press
Police investigate homicide in Southeast DC,https://www.youtube.com/watch?v=5Z192PbVgnc,9,823,1,Metropolitan Police say 23-year old Romello Hammond was shot on Friday night around 10:30pm in the 900 block of Varney Street SE.,2023-05-13T23:20:50Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Triple shooting victims grew up in the same Southwest DC neighborhood,https://www.youtube.com/watch?v=p0gzUxI5560,385,91478,95,One of the men was found lying in the street and the other two victims were dead in a car.,2019-01-28T22:54:53Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Family of DC homicide victim calls for end to violence,https://www.youtube.com/watch?v=J-0WKS86lxM,57,3764,4,"A week after Noelle Wilson died in a reported homicide, friends and family members gathered to remember the life of the 31-year-old.
» Subscribe to WUSA9: https://bit.ly/2lO8e2F

FOLLOW US ON SOCIAL MEDIA –
Twitter: https://twitter.com/wusa9
Facebook: https://www.facebook.com/wusa9
Instagram: https://www.instagram.com/wusa9

NEWS TIPS –
Email: newstips@wusa9.com",2020-10-18T04:06:33Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"DC Police identify suspect in murder case where victim was holding baby, hand of another child",https://www.youtube.com/watch?v=juHCzPxZKME,94,18011,39,"DC Police have identified a suspect in a murder case where a father was shot on a sidewalk earlier this month in front of his two young children. READ MORE: https://bit.ly/3waDyLo

STAY CONNECTED:

INSTAGRAM » https://www.instagram.com/fox5dc
TWITTER » https://twitter.com/fox5dc
FACEBOOK » https://www.facebook.com/fox5dc

On the go? Stay in the know! Keep connected to DC, Maryland and Virginia news and weather by downloading FOX 5's mobile apps, and make sure to allow notifications to receive alerts: https://www.fox5dc.com/apps",2022-03-17T17:35:59Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
Man shot to death becomes DC&#39;s 100th homicide victim of 2023,https://www.youtube.com/watch?v=xD9bw3k1pHw,47,3242,52,"A man was shot to death in Southeast D.C. Tuesday evening, marking an ominous milestone for the District as this marks 100 homicides so far this year.",2023-06-07T21:50:01Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
New details in Washington D.C. mansion murder,https://www.youtube.com/watch?v=E_zz6fOuUro,24,6603,21,Horrific new details in a quadruple murder at a mansion just blocks from the Vice President's home in Washington D.C. CNN's Pamela Brown reports.,2015-05-20T21:22:15Z,UCupvZG-5ko_eiXAupbDfxWw,CNN
"After more than a year, a teen homicide victim&#39;s family has no closure",https://www.youtube.com/watch?v=PvUd0TRB8FE,11,643,0,"Kassius Glay is among a growing number of unsolved homicides in Washington, D.C.",2022-07-30T03:14:05Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"Person of Interest in Homicide, 1500 b/o Butler St, SE, on August 3, 2024",https://www.youtube.com/watch?v=qGp36_B7TJo,0,4583,1,"Detectives from the Metropolitan Police Department's Homicide Branch are investigating a homicide. Investigators seek the public's assistance in identifying and locating a person in reference to an Homicide incident which occurred in the 1500 block of Butler Street, SE, on Saturday, August 3, 2024, at approximately 6:47 AM. The subject was captured by a nearby surveillance camera.

DO YOUR PART TO HELP PREVENT AND SOLVE CRIME. The Metropolitan Police Department currently offers a reward of up to $25,000 to anyone that provides information which leads to the arrest and conviction of the person or persons wanted for any homicide committed in the District of Columbia. Your assistance is appreciated by your community.. Ref.: CCN #24-118-777

Anyone who can identify this individual or who has knowledge of this incident should take no action but call police at (202) 727-9099 or text your tip to the Department's TEXT TIP LINE at 50411.

To learn more about the MPD Rewards program, please visit ww.mpdc.dc.gov/rewards.",2024-08-07T18:41:01Z,UC7GY6TMThbQJqeorxApNw3A,Washington DC Metropolitan Police Department
"Man dies after being shot in DC, marking the city&#39;s 158th homicide of 2018",https://www.youtube.com/watch?v=cU6krAfZkhw,8,807,0,"Police went to the 1700 block of West Virginia Avenue for report of a shooting. When they arrived, they found a man suffering from gunshot wounds.  He was taken to the hospital where he later died.",2018-12-19T12:13:21Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Homicide investigation underway in SE DC,https://www.youtube.com/watch?v=ZdtSISYPS3I,12,1789,2,Police are searching for a new model white Toyota Camry in connection with this case.,2023-07-22T12:50:22Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
"Baltimore man murdered in Washington D.C., $25K reward for information",https://www.youtube.com/watch?v=IH0zGLuyCgQ,11,1476,0,"Baltimore man murdered in Washington D.C., $25K reward for information",2022-08-22T21:14:36Z,UCADaBeM0qiKEZIw9_OuYmuA,WMAR-2 News
