# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Title,Summary,Date,Full_Article
DC bans right turns at red lights in 2025  –  but only half will be enforced: official,The Safer Streets Amendment Act of 2022 is supposed to ban cars from turning right at red lights in D.C. starting on January 1. But the District may be pumping the brakes.,"November 25, 2024 2:46pm EST",WASHINGTON-The a law passed in 2022 is supposed to ban cars from turning right at red lights in D.C. starting on January 1. But the District may be pumping the brakes.
Biden pardons Thanksgiving turkeys Peach and Blossom in traditional White House ceremony,President Biden pardoned two lucky birds on Monday at the White House’s annual Thanksgiving turkey pardon.,"November 25, 2024 12:20pm EST",President Biden pardoned two lucky birds on Monday at the White House’s annual Thanksgiving turkey pardon.
Police warn drivers amid Thanksgiving holiday travel rush,"Police are already dealing with crashes as the Thanksgiving holiday travel rush begins, and they have a message for drivers: buckle up and slow down!","November 25, 2024 9:34am EST","Police are already dealing with crashes as the Thanksgiving holiday travel rush begins, and they have a message for drivers: buckle up and slow down!"
National Zoo kicks off holiday season with ZooLights,The Smithsonian National Zoo kicked off the holiday season with ZooLights on Friday.,"November 25, 2024 8:42am EST",The Smithsonian National Zoo kicked off the holiday season with ZooLights on Friday.
"DC’s new pandas enjoy first Washington snowflakes, play in new enclosure","D.C.’s new pair of three-year-old giant pandas, Bao Li and Qing Bao, got some play time in last week at their new home at Washington's National Zoo.","November 25, 2024 8:08am EST","D.C.’s new pair of three-year-old giant pandas, Bao Li and Qing Bao, got some play time in last week at their new home at Washington's National Zoo."
WATCH: DC names Jack Schlossberg look-alike in local contest,"Hundreds gathered in Northwest D.C. Sunday to crown one person the doppelganger of Jack Schlossberg, John F. Kennedy's only grandson.","November 24, 2024 8:25pm EST","D.C. is the latest city to jump on the trend of celebrity look-alike contests, with a Jack Schlossberg look-alike contest being held Sunday at Malcolm X park in Northwest D.C."
Early morning DC house fire displaces 3 in Southeast,"An early morning has displaced three people in Southeast, D.C.","November 23, 2024 12:59pm EST","WASHINGTON, D.C.-An early morning has displaced three people in Southeast, D.C."
Georgetown law student challenges school’s response to pregnancy accommodations,Georgetown University Law Center is facing scrutiny over its handling of a pregnant student’s request for exam accommodations.,"November 22, 2024 10:33pm EST",Georgetown University Law Center is facing scrutiny over its handling of a pregnant student’s request for exam accommodations. FOX 5's Sierra Fox has the story.
15-year-old student shot in alley near Eastern Senior High School in Northeast DC: police,"A teenager was shot near Eastern Senior High School in Northeast, D.C.","November 22, 2024 7:40pm EST","A 15-year-old Eastern Senior High School student was shot near the school in Northeast, D.C. News, weather, traffic and more from FOX 5, serving the District of Columbia, Maryland and Virginia."
Nationals mark 20 years since bringing baseball back to DC,"Friday marks a milestone in Washington, D.C.'s sports history as the city celebrates the 20th anniversary of the Washington Nationals.","November 22, 2024 12:43pm EST","Friday marks a milestone in Washington, D.C.'s sports history as the city celebrates the 20th anniversary of the Washington Nationals."
US Capitol Christmas Tree arrives in DC marking beginning of 2024 holiday season,"The 2024 U.S. Capitol Christmas Tree has arrived in Washington, D.C. marking the traditional beginning of the holiday season in the nation’s capital.","November 22, 2024 12:43pm EST","The 2024 U.S. Capitol Christmas Tree has arrived in Washington, D.C. marking the traditional beginning of the holiday season in the nation’s capital."
Winter storm warning: First snowflakes of season fall in DC; heavy accumulations out west,"Washington, D.C. could see its first snowflakes of the season on Friday, while regions north and west of the city could see heavy accumulations from a storm system that is moving across the region.","November 22, 2024 12:12pm EST","Washington, D.C. could see its first snowflakes of the season Friday while regions north and west of the city could see heavy accumulations from a storm system that is moving across the region."
Maryland governor defends $190K Trump-centric consulting contract as president-elect moves in next door,Maryland’s Democratic governor tapped one of the world’s largest risk-management firms for a short-term contract in preparation for Republican President-elect Trump moving in next door.,"November 22, 2024 10:50am EST",Governor Wes Moore provides updates on the efforts underway following the collapse of the Francis Scott Key Bridge collapse three weeks ago.
DC weather: Chilly weekend after snowflakes turn to rain Friday; eyes on Thanksgiving threat,"A storm is expected to push some snow, and then eventually rain showers into the D.C. region Friday morning.","November 22, 2024 7:56am EST",A stormfront is expected to bring snow and some rain to the D.C. region Friday morning. FOX 5 meteorologist Mike Thomas delivers the forecast.
Brothers seek presidential pardon decades after wrongful conviction,"Charles and Chris Turner, two brothers who spent decades in prison for a 1984 murder they insist they did not commit, are seeking a presidential pardon to clear their names and reclaim their futures.","November 21, 2024 10:55pm EST","Charles and Chris Turner, two brothers who spent decades in prison for a 1984 murder they insist they did not commit, are seeking a presidential pardon to clear their names and reclaim their futures. FOX 5's Sierra Fox spoke with the Turners and their lawyers."
DC man accused of serial sex assaults arrested: police,Police have arrested a D.C. man they say is connected to a dozen sex offenses that occurred in the District from 2021 to 2024.,"November 21, 2024 6:57pm EST",A man accused of sexually abusing a dozen women in D.C. is finally in police custody. FOX 5's Homa Bash is in the newsroom with details.
Teens charged in violent robbery that left DC DJ dead appear in court,Two teenage suspects accused in a crime spree that left a well-known D.C. DJ and hairstylist dead appeared in court Thursday.,"November 21, 2024 6:36pm EST","Two teenage suspects accused in a crime spree that left a well-known D.C. DJ and hairstylist dead appeared in court Thursday. The suspects, a 14-year-old boy and a 16-year-old boy, are facing multiple robbery and assault charges in connection to at least four cases on the morning of Oct. 27."
"Fight breaks out at DC high school, parents and students involved: police",A fight involving parents and students at a D.C. high school continues to be under investigation.,"November 21, 2024 9:50am EST","WASHINGTON, D.C.-A fight involving parents and students at a D.C. high school continues to be under investigation."
"Winter storm warning: Up to a foot of snow possible in parts of Maryland, Virginia",Parts of Maryland and Virginia could possibly see up to a foot of snow as a winter storm moves across the region Thursday into Friday.,"November 21, 2024 8:20am EST",Winter storm warnings remain in effect from Thursday morning to Friday night. FOX 5’s Tucker Barnes has the latest.
"Winter storm watch: Snow likely for parts of Virginia, Maryland","The first Winter Storm Watches of the season have been issued for parts of Maryland, Virginia, and West Virginia ahead of a storm that could bring significant snow to the mountains west of the DMV.","November 21, 2024 8:06am EST","Weather Forecast for Wednesday, November 19th, 2024."
"Armed suspects target jackets, shoes from victims in DC robbery spree: police",Police are on the lookout for suspects involved in a robbery spree across several neighborhoods in the District on Wednesday afternoon.,"November 20, 2024 11:14pm EST",Police are on the lookout for suspects involved in a robbery spree across several neighborhoods in the District on Wednesday afternoon.
"Leaders in DC, Maryland, Virginia prepare for Trump transition",Maryland and Virginia are gearing up to welcome in a new administration to Washington.,"November 20, 2024 9:29pm EST","Maryland and Virginia are gearing up to welcome in a new administration to Washington. While Virginia's Republican governor hopes to benefit, Maryland's governor is facing questions about a move to hire an outside contractor to deal with the president-elect. It comes as the state faces a budget crisis."
GW Hospital hosts 13th annual Trauma Survivors Day,"On Wednesday, George Washington University Hospital hosted its 13th annual Trauma Survivors Day program.","November 20, 2024 6:10pm EST","On Wednesday, George Washington University Hospital hosted its 13th annual Trauma Survivors Day program. The event honors those who have endured so much. Six survivors were honored and each got a chance to share their gratitude and appreciation to the first responders, doctors, nurses, therapists and hospital staff who helped them survive."
"2 victims refuse to turnover belongings in DC attempted armed robbery, assaulted by suspects: police","Two victims were assaulted by armed robbery suspects, after they refused to turnover their belongings in Northwest, D.C.","November 20, 2024 11:50am EST","WASHINGTON, D.C.-Two victims were assaulted by armed robbery suspects after they refused to give up their belongings in Northwest, D.C."
3 suspects armed with machine gun at large after morning robbery in Southeast DC: police,"Three to four suspects committed an armed robbery in Southeast, D.C. and at least one was armed with a machine gun, according to police.","November 20, 2024 10:26am EST","WASHINGTON, D.C.-Three to four suspects committed an armed robbery in Southeast, D.C. and at least one was armed with a machine gun, according to police."
'Confusing and disturbing:' Head of DC preschool arrested for online sex crimes,The director of the National Child Research Center remains behind bars after being arrested Wednesday on child abuse charges.,"November 20, 2024 8:57am EST","James Carroll allegedly communicated with an undercover agent on Discord, attempting to obtain sexually explicit content involving a minor."
Head of DC preschool arrested after attempting to get video of man sexually abusing child,The head of a D.C. Early Education Center was arrested after investigators say he attempted to obtain sexually explicit content involving a minor.,"November 19, 2024 10:34pm EST",The head of the National Child Research Center Preschool in Northwest D.C. is in jail. The FBI arrested James Carroll and accused him of trying to get inappropriate videos of a minor. FOX 5’s Shomari Stone has the story.
Trump’s pardon promises add complexity to DOJ’s January 6 prosecutions,Prosecutions of January 6 criminal defendants remain a priority for the Department of Justice nearly four years after the Capitol riot.,"November 19, 2024 7:01pm EST",Prosecutions of January 6 criminal defendants remain a priority for the Department of Justice nearly four years after the Capitol riot. FOX 5's Katie Barlow breaks down how the fate of these prosecutions could change dramatically if former President Donald Trump follows through on his promise to pardon many of those convicted for their actions that day.
DC dispatchers handled 1.2 million 911 calls last year — a quarter of them weren’t emergencies,"As staffing levels at D.C.’s call center for emergency and non-emergency calls continue to improve, the agency is urging people to call the correct lines for situations in order to not strain the emergency line.","November 19, 2024 6:51pm EST","As staffing levels at D.C.’s call center for emergency and non-emergency calls continue to improve, the agency is urging people to call the correct lines for situations in order to not strain the emergency line."
DHS warns of violent Venezuelan gang 'Tren de Aragua' expanding in DC area,"The Department of Homeland Security has issued a bulletin to law enforcement across D.C., Maryland and Virginia concerning an illegal Venezuelan criminal gang known as ‘Tren de Aragua’ that is growing in both size and violence across the region.","November 19, 2024 4:49pm EST","The Department of Homeland Security has issued a bulletin to law enforcement across D.C., Maryland and Virginia concerning an illegal Venezuelan criminal gang known as ‘Tren de Aragua’ that is growing in both size and violence across the region."
Rapper Pusha T launches coffee brand Grindin',"Virginia rapper Pusha T launched a new coffee brand ""Grindin.'""","November 19, 2024 4:19pm EST","WASHINGTON, D.C.-Virginia rapper Pusha T launched a new coffee brand, Grindin'."
Most and least weather-delayed airports during the holidays,"Millions of people are ready to board their flights to destinations all over the world to celebrate the 2024 holiday season. But the holiday season also brings large crowds, inclement weather, and a high potential for travel disruptions, especially at certain airports.","November 19, 2024 1:45pm EST","WASHINGTON-Millions of people are ready to board their flights to destinations all over the world to celebrate the 2024 holiday season. But the holiday season also brings large crowds, inclement weather, and a high potential for travel disruptions, especially at certain airports."
Emmy-winning comedian Paul Mecurio's 'Permission to Speak' coming to Annapolis,"Paul Mecurio, Emmy-winning comedian and frequent collaborator with late-night heavyweights like Stephen Colbert and Jon Stewart, joined ‘The Final 5' with Jim Lokay to promote his upcoming show, Paul Mecurio’s ‘Permission to Speak’, set to hit Maryland Hall in Annapolis this Saturday. Known for his sharp wit and audience engagement, Mecurio shared insights into the unique interactive format of his live performance.","November 19, 2024 12:06pm EST","Paul Mecurio, Emmy-winning comedian and frequent collaborator with late-night heavyweights like Stephen Colbert and Jon Stewart, joined The Final 5 with Jim Lokay to promote his upcoming show, Paul Mecurio’s Permission to Speak, set to hit Maryland Hall in Annapolis this Saturday."
Body of man pulled from water near District Yacht Club,The body of a man has been recovered from the Anacostia River.,"November 19, 2024 11:10am EST",The body of a man has been recovered from the Anacostia River.
DC woman relieved of thousands in speed camera tickets after DMV mix-up,Good news — a woman who had been hit with thousands of dollars in speed camera tickets from the D.C. DMV won't have to pay a dime.,"November 18, 2024 5:41pm EST",A woman who had been hit with thousands of dollars in speed camera tickets from the D.C. DMV won't have to pay a dime. FOX 5's Homa Bash has the story.
2 teen girls found guilty in 2023 beating death of 64-year-old DC man,Two teenage girls have been found guilty in the beating death of a 64-year-old man who was attacked by a group of teenage girls last year.,"November 18, 2024 5:16pm EST",Two of the five teenage girls who beat DC man Reggie Brown to death have been found guilty on the charges of second-degree murder and assault. The other 3 girls have already plead guilty to similar charges.
Go-Go Museum in DC will celebrate District's distinctive musical sound,"Washington, D.C. will unveil a new cultural landmark on Monday with the ribbon-cutting ceremony of the city’s first Go-Go Museum and Café in the historic Anacostia neighborhood.","November 18, 2024 12:21pm EST","Washington, D.C will unveil a new cultural landmark on Monday with the opening of the city’s first Go-Go Museum and Café in the historic Anacostia neighborhood."
"Christmas tree shortage: Will severe drought result in lack of trees, price spike?","A severe drought in the Northeast has sparked concerns about a potential Christmas tree shortage in future holiday seasons, according to a FOX Business report.","November 18, 2024 11:42am EST","WASHINGTON-A severe drought in the Northeast has sparked concerns about a potential Christmas tree shortage in future holiday seasons, according to aFOX Business report."
$82 million in upgrades coming to Union Station,The U.S. Department of Transportation and the Mayor’s Office announced $82 million in upgrades coming to Union Station.,"November 18, 2024 2:37am EST",The U.S. Department of Transportation and the Mayor’s Office announced $82 million in upgrades coming to Union Station. FOX 5's David Kaplan has the details.
"Library of Congress hacked by 'foreign adversary' earlier this year, officials say","The Library of Congress email systems were hacked earlier this year by a “foreign adversary,"" officials confirmed Sunday.","November 17, 2024 7:02pm EST",Library of Congress opens Main Reading Room to visitors
Wale’s MGM National Harbor concert caps off a week honoring DMV culture,Wale closed out his Every Blue Moon Tour Friday night at the theater inside MGM National Harbor with a performance that felt more like a heartfelt homecoming than just another tour stop.,"November 17, 2024 4:07pm EST","At his sold-out show at MGM National Harbor, Maryland State Senator Nick Charles presented Wale with an official proclamation declaring November 15 as ""Wale Day"" in Maryland. Video credit: Marli Frazier."
DC police investigating deadly weekend stabbing,D.C. police are investigating a stabbing that left a man dead in Northeast this weekend.,"November 17, 2024 1:30pm EST",
"Suspect follows woman into building, makes threats and inappropriate gestures in DC: police","The Metropolitan Police Department is searching for a suspect involved in an incident that took place in Southeast, D.C.","November 16, 2024 3:08pm EST","WASHINGTON, D.C.-The Metropolitan Police Department is searching for a suspect involved in an incident that took place in Southeast, D.C."
Porch pirate captured on surveillance camera in Southeast DC,A suspect was caught on surveillance video stealing a package in a Southeast neighborhood.,"November 16, 2024 11:24am EST","WASHINGTON, D.C.-A suspect was caught on surveillance video stealing a package in a Southeast neighborhood."
"DC police arrest 14-year-old, 16-year-old in connection with robbery that left DJ dead",D.C. police have arrested two teens in connection with a brutal attack and robbery that left a well-known DJ dead.,"November 16, 2024 12:54am EST","FOX 5's Shomari Stone speaks to the mother of Bryan Smith, a D.C. DJ who was brutally killed during a robbery in the District."
"When is the Beaver Moon, the last supermoon of 2024?","This week’s supermoon, the Beaver Moon, will be the last one for some time until the next one.","November 15, 2024 1:21pm EST","WASHINGTON, D.C.-This week’ssupermoon,the Beaver Moon, will be the last one for some time until the next one."
2 suspects destroy surveillance cameras in DC neighborhood: police,"The Metropolitan Police Department continues to search for two suspects who destroyed a security camera at an apartment building in Northeast, D.C.","November 15, 2024 10:26am EST","WASHINGTON, D.C.-The Metropolitan Police Department continues to search for two suspects who destroyed a security camera at an apartment building in Northeast, D.C."
HBCU Honors celebrate Black excellence,Howard University is coming off an inspiring night dedicated to honoring Black excellence.,"November 15, 2024 10:17am EST",WASHINGTON-Howard University is coming off an inspiring night dedicated to honoring Black excellence.
"Woman put into chokehold, gun held to her head, during violent robbery in northwest DC",A woman was shaken after a frightening attack in northwest D.C. that was caught on camera.,"November 15, 2024 10:00am EST",WASHINGTON-A woman was shaken after a frightening attack in northwest D.C. that was caught on camera.
Man found dead suffering gunshot wounds in Southeast DC: police,An adult man was found dead suffering from gunshot wounds in a D.C. neighborhood.,"November 15, 2024 9:48am EST","WASHINGTON, D.C.-An adult man was found dead suffering from gunshot wounds in a D.C. neighborhood."
Driverless cars could be making their way to DC,The DC council heard arguments on Thursday from tech advocates that want the District to allow autonomous vehicles to be driven without a human test person inside.,"November 14, 2024 5:55pm EST",The DC council heard arguments from tech advocates that want the district to allow autonomous vehicles to be driven without a human test person inside.
Here's how much snow to expect this winter in DC,Old Man Winter is knocking on the door - so we're asking the question: How much snow can we expect this winter in the D.C. region?,"November 14, 2024 1:18pm EST","WASHINGTON-A chilly Thursday morning made it feel like we could see snowflakes falling from the sky at any moment! No snow yet, but cold rain that’s expected to linger overnight into Friday morning is a good indication that winter isn’t far away."
All-clear given after US Department of Transportation evacuated in DC: police,"The Metropolitan Police Department is investigating a suspicious package in Southeast, D.C.","November 14, 2024 9:27am EST","WASHINGTON, D.C.-The Metropolitan Police Department gave the all-clear after investigating a suspicious package in Southeast, D.C."
"Cold, chilly rain Thursday across DC region","A cold and rainy Thursday is expected across the Washington, D.C. region. Rain is likely to move into the area from the west between 2 p.m. and 3 p.m. Cloudy conditions are expected, with high temperatures near 53 degrees.","November 14, 2024 6:25am EST","Taylor Grenda has the FOX 5 Weather forecast for Thursday, November 14"
"Trump, Biden meet at White House; leaders look forward to 'smooth transition'",President-elect Donald Trump is making a return to the White House on Wednesday when he meets with President Joe Biden.,"November 13, 2024 6:23pm EST","President-elect Donald Trump made a return to the White House on Wednesday where he met with President Joe Biden. Biden welcomed him to the White House for an Oval Office visit, a traditional part of the peaceful transfer of power—a ritual Trump declined to participate in four years ago."
WATCH: US Congress holds UFO hearing,"Congress is holding a hearing on Wednesday to discuss “Unidentified Anomalous Phenomena"" – also known as UFOs.","November 13, 2024 6:10pm EST","Congress met Wednesday to discuss ""Unidentified Anomalous Phenomena"" in order to ""further pull back the curtain on secret UAP research programs conducted by the US government, and undisclosed findings they have yielded."""
Trump calls to 'disband' the Department of Education,"President-elect Donald Trump repeatedly mentioned ""disbanding"" and ""de-powering"" the Department of Education during his campaign. What does that mean for you?","November 13, 2024 5:34pm EST","The U.S. Department of Education building stands in Washington, D.C., U.S., on Tuesday, Aug. 18, 2020. U.S. public schools need $200 billion in federal aid to be able to safely open for the fall semester with the coronavirus continuing to circulate w"
"Candiace Dillard Bassett, former Real Housewives of Potomac star welcomes newborn son","Former Real Housewives of Potomac star, Candiace Dillard Bassett welcomed her newborn son alongside her husband, Chris Bassett.","November 13, 2024 1:24pm EST","Candiace Dillard Bassett talks all things Grammys, Drake trending after x-rated leak, and more celebrity dish."
DC forecast: Chilly Wednesday with rain expected Thursday,"Bundle up! A dry and chilly Wednesday is expected across the Washington, D.C. region with morning temperatures in the 30s to low 40s and highs reaching only the 50s by the afternoon.","November 13, 2024 12:36pm EST","Taylor Grenda has the FOX 5 Weather forecast for Wednesday, November 13"
Trial date set for DC councilmember Trayon White in federal bribery case,"A trial date has been set for D.C. Councilmember Trayon White in his federal bribery case. Arguments are scheduled to begin on January 12, 2026.","November 13, 2024 12:36pm EST",DC Councilmember Trayon White spoke with reporers following his court hearing Wednesday.
Truckers to haul US Capitol Christmas Tree from Alaska to DC on annual big-rig journey,Two American truck drivers will embark on a cross-country journey in honor of a special Yuletide delivery.,"November 13, 2024 11:11am EST",The Christmas season has officially arrived at the U.S. Capitol! The U.S. Capitol Christmas Tree pulled in bright and early Friday morning.
Cases of walking pneumonia spike drastically across DMV,"As the cold weather moves in, doctors are sounding the alarm over near-record-level pneumonia cases across the country and here in the DMV.","November 12, 2024 8:01pm EST","As the cold weather moves in, doctors are sounding the alarm over near-record-level pneumonia cases across the country and here in the DMV. Some folks are battling the infection for weeks on end as they suffer from walking pneumonia – a less-severe form of bacterial pneumonia."
DC readies for Trump inauguration with massive security plans,"Ahead of the January inauguration, D.C. leaders say they are committed to the peaceful transfer of power and the security measures they have been tasked to handle.","November 12, 2024 6:32pm EST","Ahead of the January inauguration, D.C. leaders say they are committed to the peaceful transfer of power and the security measures they have been tasked to handle. FOX 5's Lili Zheng has the latest."
Child kidnapped in Vermont found at Union Station: police,"A child that was kidnapped in Vermont was found at Union Station in D.C., according to police.","November 12, 2024 4:09pm EST","WASHINGTON, D.C.-A child that was kidnapped in Vermont was found at Union Station in D.C., according to police."
"Anacostia River rescue, 1 in critical condition: officials",A water rescue from the Anacostia River left one in critical condition.,"November 12, 2024 2:43pm EST","According to DC Fire and EMS, one victim was removed from the Anacostia River onto a floating work barge on Tuesday afternoon."
Shaboozey sets new record with 'A Bar Song (Tipsy)',Shaboozey sets a new record for longest running #1 song on the Billboard Hot 100 chart.,"November 12, 2024 11:39am EST",Shaboozey has remained on the Billboard charts for a record seventeen weeks at #1. A Bar Song (Tipsy) is officially the longest running #1 song of the decade.
How to protect veterans from scams and fraud,"Veterans can be a vulnerable population that are susceptible to scams. Carroll Harris, Inspector in Charge at the U.S. Postal Inspection Service, says sometimes scammers specially target the veteran population.","November 12, 2024 11:17am EST","Carroll Harris, Inspector in Charge at the U.S. Postal Inspection Service, discusses ways to keep America’s veterans protected from the devastating effects of scams and fraud."
"Verizon Fios internet outages impacting customers in DC region, millions on East Coast","A Verizon Fios internet outage is affecting millions of customers in the Washington, D.C. region, including millions along the East Coast.","November 12, 2024 11:17am EST","A Verizon Fios internet outage is affecting millions of customers in the Washington, D.C. region, including millions along the East Coast."
DC police locate missing 1-year-old girl last seen on Halloween,"Police are asking for the public's help in locating a missing one-year-old, Morgan Carter, who was reported missing Monday.","November 12, 2024 11:17am EST",WASHINGTON-UPDATE: Police say 1-year-old Morgan Carter has been located in good health. No other details have been released.
Decision on Trump’s hush money conviction delayed,A judge is postponing a decision on whether to undo President-elect Donald Trump’s conviction in his hush money case because of a U.S. Supreme Court ruling on presidential immunity.,"November 12, 2024 10:12am EST","President-elect Donald Trump will retake the White House after defeating Vice President Kamala Harris. Now, it seems that winning the presidency is a ""get out of jail free"" card for Trump as federal prosecutors look to wind down their cases against him. However, state court cases in Georgia and New York could remain on the ballot."
Man shot in DC during robbery attempt; two teens identified as suspects,Detectives are searching for two juveniles they believe shot a man Monday afternoon during an attempted robbery in D.C.,"November 11, 2024 10:22pm EST",D.C. police are searching for two teenage suspects accused of shooting a man during an attempted robbery Monday afternoon.
VIDEO: Suspect charged in brutal beating caught on camera outside DC shop,"D.C. police are investigating a brutal beating outside of a U Street stop, which was caught on camera and has gone viral on social media.","November 11, 2024 7:13pm EST","D.C. police are investigating a brutal beating outside of a U Street stop, which was caught on camera and has gone viral on social media."
Jewish restaurant in DC vandalized on anniversary of 'Kristallnacht' Nazi attack,D.C. police are investigating an act of vandalism at a Jewish restaurant on the anniversary of a deadly night in history.,"November 11, 2024 10:56am EST",D.C. police are investigating an act of vandalism at a Jewish restaurant on the anniversary of a deadly night in history.
Veterans Day ceremony at World War II Memorial in DC remembers those who served,"Veterans and their families were honored Monday at the World War II Memorial in Washington, D.C. in recognition of Veterans Day.","November 11, 2024 10:55am EST",FOX 5 DC showcases different events around the district that thanks veterans for their service.
"Brothers bitten, shot by armed suspects on rideshare bikes in DC: police",Authorities say two brothers were shot and bitten by armed suspects who were on rideshares bikes in northwest Washington over the weekend.,"November 11, 2024 10:46am EST",WASHINGTON-Authorities say two brothers were shot and bitten by armed suspects who were on rideshares bikes in northwest Washington over the weekend.
